time_utc,data_type,station_id,valid,observable_raw,doppler_hz,range_m,range_type
2015-01-31 01:20:23.500000+00:00,11,43,True,-137711.205327987,-137711.205327987,,
2015-01-31 01:20:28.500000+00:00,11,43,True,-137691.719870566,-137691.719870566,,
2015-01-31 01:20:33.500000+00:00,11,43,True,-137672.226690291,-137672.226690291,,
2015-01-31 01:20:38.500000+00:00,11,43,True,-137652.74205017,-137652.74205017,,
2015-01-31 01:20:43.500000+00:00,11,43,True,-137633.25511074,-137633.25511074,,
2015-01-31 01:20:48.500000+00:00,11,43,True,-137613.748410224,-137613.748410224,,
2015-01-31 01:20:53.500000+00:00,11,43,True,-137594.321725844,-137594.321725844,,
2015-01-31 01:20:58.500000+00:00,11,43,True,-137574.808517455,-137574.808517455,,
2015-01-31 01:21:03.500000+00:00,11,43,True,-137555.343910216,-137555.343910216,,
2015-01-31 01:21:08.500000+00:00,11,43,True,-137535.90947914,-137535.90947914,,
2015-01-31 01:21:13.500000+00:00,11,43,True,-137516.500071525,-137516.500071525,,
2015-01-31 01:21:18.500000+00:00,11,43,True,-137497.055501937,-137497.055501937,,
2015-01-31 01:21:23.500000+00:00,11,43,True,-137477.672000884,-137477.672000884,,
2015-01-31 01:21:28.500000+00:00,11,43,True,-137458.178793906,-137458.178793906,,
2015-01-31 01:21:33.500000+00:00,11,43,True,-137438.870749473,-137438.870749473,,
2015-01-31 01:21:38.500000+00:00,11,43,True,-137419.392533301,-137419.392533301,,
2015-01-31 01:21:43.500000+00:00,11,43,True,-137399.922089576,-137399.922089576,,
2015-01-31 01:21:48.500000+00:00,11,43,True,-137380.571476935,-137380.571476935,,
2015-01-31 01:21:53.500000+00:00,11,43,True,-137361.121629714,-137361.121629714,,
2015-01-31 01:21:58.500000+00:00,11,43,True,-137341.760805129,-137341.760805129,,
2015-01-31 01:22:03.500000+00:00,11,43,True,-137322.309090613,-137322.309090613,,
2015-01-31 01:22:08.500000+00:00,11,43,True,-137303.032711028,-137303.032711028,,
2015-01-31 01:22:13.500000+00:00,11,43,True,-137283.650169372,-137283.650169372,,
2015-01-31 01:22:18.500000+00:00,11,43,True,-137264.200636863,-137264.200636863,,
2015-01-31 01:22:23.500000+00:00,11,43,True,-137244.823081969,-137244.823081969,,
2015-01-31 01:22:28.500000+00:00,11,43,True,-137225.486530303,-137225.486530303,,
2015-01-31 01:22:33.500000+00:00,11,43,True,-137206.049538611,-137206.049538611,,
2015-01-31 01:22:38.500000+00:00,11,43,True,-137186.790375709,-137186.790375709,,
2015-01-31 01:22:43.500000+00:00,11,43,True,-137167.410483359,-137167.410483359,,
2015-01-31 01:22:48.500000+00:00,11,43,True,-137147.996723174,-137147.996723174,,
2015-01-31 01:22:53.500000+00:00,11,43,True,-137128.695236205,-137128.695236205,,
2015-01-31 01:22:58.500000+00:00,11,43,True,-137109.299331664,-137109.299331664,,
2015-01-31 01:23:03.500000+00:00,11,43,True,-137089.982398032,-137089.982398032,,
2015-01-31 01:23:08.500000+00:00,11,43,True,-137070.663355826,-137070.663355826,,
2015-01-31 01:23:13.500000+00:00,11,43,True,-137051.290760993,-137051.290760993,,
2015-01-31 01:23:18.500000+00:00,11,43,True,-137031.949802398,-137031.949802398,,
2015-01-31 01:23:23.500000+00:00,11,43,True,-137012.627702712,-137012.627702712,,
2015-01-31 01:23:28.500000+00:00,11,43,True,-136993.369133948,-136993.369133948,,
2015-01-31 01:23:33.500000+00:00,11,43,True,-136973.963816642,-136973.963816642,,
2015-01-31 01:23:38.500000+00:00,11,43,True,-136954.644541739,-136954.644541739,,
2015-01-31 01:23:43.500000+00:00,11,43,True,-136935.331886291,-136935.331886291,,
2015-01-31 01:23:48.500000+00:00,11,43,True,-136916.007028579,-136916.007028579,,
2015-01-31 01:23:53.500000+00:00,11,43,True,-136896.734417914,-136896.734417914,,
2015-01-31 01:23:58.500000+00:00,11,43,True,-136877.493944167,-136877.493944167,,
2015-01-31 01:24:03.500000+00:00,11,43,True,-136858.122429847,-136858.122429847,,
2015-01-31 01:24:08.500000+00:00,11,43,True,-136838.884349822,-136838.884349822,,
2015-01-31 01:24:13.500000+00:00,11,43,True,-136819.598775863,-136819.598775863,,
2015-01-31 01:24:18.500000+00:00,11,43,True,-136800.301403998,-136800.301403998,,
2015-01-31 01:27:20.500000+00:00,11,43,True,-136180.81126213,-136180.81126213,,
2015-01-31 01:27:25.500000+00:00,11,43,True,-136160.297506331,-136160.297506331,,
2015-01-31 01:27:30.500000+00:00,11,43,True,-136139.942869185,-136139.942869185,,
2015-01-31 01:27:35.500000+00:00,11,43,True,-136119.54405403,-136119.54405403,,
2015-01-31 01:27:40.500000+00:00,11,43,True,-136099.250948905,-136099.250948905,,
2015-01-31 01:27:45.500000+00:00,11,43,True,-136078.949542998,-136078.949542998,,
2015-01-31 01:27:50.500000+00:00,11,43,True,-136058.865125655,-136058.865125655,,
2015-01-31 01:27:55.500000+00:00,11,43,True,-136038.725049972,-136038.725049972,,
2015-01-31 01:28:00.500000+00:00,11,43,True,-136018.623365401,-136018.623365401,,
2015-01-31 01:28:05.500000+00:00,11,43,True,-135998.557282447,-135998.557282447,,
2015-01-31 01:28:10.500000+00:00,11,43,True,-135978.545402526,-135978.545402526,,
2015-01-31 01:28:15.500000+00:00,11,43,True,-135958.623188971,-135958.623188971,,
2015-01-31 01:28:20.500000+00:00,11,43,True,-135938.719106673,-135938.719106673,,
2015-01-31 01:28:25.500000+00:00,11,43,True,-135918.851336478,-135918.851336478,,
2015-01-31 01:28:30.500000+00:00,11,43,True,-135898.92915821,-135898.92915821,,
2015-01-31 01:28:35.500000+00:00,11,43,True,-135879.147162436,-135879.147162436,,
2015-01-31 01:28:40.500000+00:00,11,43,True,-135859.273578643,-135859.273578643,,
2015-01-31 01:28:45.500000+00:00,11,43,True,-135839.604135512,-135839.604135512,,
2015-01-31 01:28:50.500000+00:00,11,43,True,-135819.907894134,-135819.907894134,,
2015-01-31 01:28:55.500000+00:00,11,43,True,-135800.134439467,-135800.134439467,,
2015-01-31 01:29:00.500000+00:00,11,43,True,-135780.44745922,-135780.44745922,,
2015-01-31 01:29:05.500000+00:00,11,43,True,-135760.726874351,-135760.726874351,,
2015-01-31 01:29:10.500000+00:00,11,43,True,-135741.055581092,-135741.055581092,,
2015-01-31 01:29:15.500000+00:00,11,43,True,-135721.403236388,-135721.403236388,,
2015-01-31 01:29:20.500000+00:00,11,43,True,-135701.729681014,-135701.729681014,,
2015-01-31 01:29:25.500000+00:00,11,43,True,-135682.105265616,-135682.105265616,,
2015-01-31 01:29:30.500000+00:00,11,43,True,-135662.537219047,-135662.537219047,,
2015-01-31 01:29:35.500000+00:00,11,43,True,-135642.983196258,-135642.983196258,,
2015-01-31 01:29:40.500000+00:00,11,43,True,-135623.41103649,-135623.41103649,,
2015-01-31 01:29:45.500000+00:00,11,43,True,-135603.869972228,-135603.869972228,,
2015-01-31 01:29:50.500000+00:00,11,43,True,-135584.312592505,-135584.312592505,,
2015-01-31 01:29:55.500000+00:00,11,43,True,-135564.803734778,-135564.803734778,,
2015-01-31 01:30:00.500000+00:00,11,43,True,-135545.417604445,-135545.417604445,,
2015-01-31 01:30:05.500000+00:00,11,43,True,-135525.881170272,-135525.881170272,,
2015-01-31 01:30:10.500000+00:00,11,43,True,-135506.458996772,-135506.458996772,,
2015-01-31 01:30:15.500000+00:00,11,43,True,-135487.002454757,-135487.002454757,,
2015-01-31 01:30:20.500000+00:00,11,43,True,-135467.552268981,-135467.552268981,,
2015-01-31 01:30:25.500000+00:00,11,43,True,-135448.107287406,-135448.107287406,,
2015-01-31 01:30:30.500000+00:00,11,43,True,-135428.724191665,-135428.724191665,,
2015-01-31 01:30:35.500000+00:00,11,43,True,-135409.317403792,-135409.317403792,,
