time_utc,doppler_hz,station_id,data_type,valid
2015-04-23 14:45:13.500000+00:00,-1035352.195123671,25,11,True
2015-04-23 14:45:18.500000+00:00,-1035344.809672355,25,11,True
2015-04-23 14:45:23.500000+00:00,-1035337.27823162,25,11,True
2015-04-23 14:45:28.500000+00:00,-1035329.808928489,25,11,True
2015-04-23 14:45:33.500000+00:00,-1035322.304095267,25,11,True
2015-04-23 14:45:38.500000+00:00,-1035314.889962195,25,11,True
2015-04-23 14:45:43.500000+00:00,-1035307.441783904,25,11,True
2015-04-23 14:45:48.500000+00:00,-1035299.991353988,25,11,True
2015-04-23 14:45:53.500000+00:00,-1035292.608445167,25,11,True
2015-04-23 14:45:58.500000+00:00,-1035285.083470344,25,11,True
2015-04-23 14:46:03.500000+00:00,-1035277.73835945,25,11,True
2015-04-23 14:46:08.500000+00:00,-1035270.34192562,25,11,True
2015-04-23 14:46:13.500000+00:00,-1035263.054409026,25,11,True
2015-04-23 14:46:18.500000+00:00,-1035255.607570647,25,11,True
2015-04-23 14:46:23.500000+00:00,-1035248.224916457,25,11,True
2015-04-23 14:46:28.500000+00:00,-1035240.864281653,25,11,True
2015-04-23 14:46:33.500000+00:00,-1035233.343278884,25,11,True
2015-04-23 14:46:38.500000+00:00,-1035226.01027584,25,11,True
2015-04-23 14:46:43.500000+00:00,-1035218.571511268,25,11,True
2015-04-23 14:46:48.500000+00:00,-1035211.240165709,25,11,True
2015-04-23 14:46:53.500000+00:00,-1035203.855727195,25,11,True
2015-04-23 14:46:58.500000+00:00,-1035196.520394324,25,11,True
2015-04-23 14:47:03.500000+00:00,-1035189.053921699,25,11,True
2015-04-23 14:47:08.500000+00:00,-1035181.791577338,25,11,True
2015-04-23 14:47:13.500000+00:00,-1035174.408123015,25,11,True
2015-04-23 14:47:18.500000+00:00,-1035167.05876541,25,11,True
2015-04-23 14:47:23.500000+00:00,-1035159.684586524,25,11,True
2015-04-23 14:47:28.500000+00:00,-1035152.324019431,25,11,True
2015-04-23 14:47:33.500000+00:00,-1035145.034053801,25,11,True
2015-04-23 14:47:38.500000+00:00,-1035137.644587516,25,11,True
2015-04-23 14:47:43.500000+00:00,-1035130.392728805,25,11,True
2015-04-23 14:47:48.500000+00:00,-1035123.056568145,25,11,True
2015-04-23 14:47:53.500000+00:00,-1035115.752346991,25,11,True
2015-04-23 14:47:58.500000+00:00,-1035108.457225799,25,11,True
2015-04-23 14:48:03.500000+00:00,-1035101.214612006,25,11,True
2015-04-23 14:48:08.500000+00:00,-1035093.904144286,25,11,True
2015-04-23 14:48:13.500000+00:00,-1035086.563960074,25,11,True
2015-04-23 14:48:18.500000+00:00,-1035079.299650191,25,11,True
2015-04-23 14:48:23.500000+00:00,-1035072.091924666,25,11,True
2015-04-23 14:48:28.500000+00:00,-1035064.766734122,25,11,True
2015-04-23 14:48:33.500000+00:00,-1035057.465027808,25,11,True
2015-04-23 14:48:38.500000+00:00,-1035050.246706962,25,11,True
2015-04-23 14:48:43.500000+00:00,-1035042.994873046,25,11,True
2015-04-23 14:48:48.500000+00:00,-1035035.788661956,25,11,True
2015-04-23 14:48:53.500000+00:00,-1035028.585226058,25,11,True
2015-04-23 14:48:58.500000+00:00,-1035021.359135627,25,11,True
2015-04-23 14:49:03.500000+00:00,-1035014.114892959,25,11,True
2015-04-23 14:49:08.500000+00:00,-1035006.837886809,25,11,True
2015-04-23 14:49:13.500000+00:00,-1034999.600161551,25,11,True
2015-04-23 14:49:18.500000+00:00,-1034992.287688254,25,11,True
2015-04-23 14:49:23.500000+00:00,-1034985.097974776,25,11,True
2015-04-23 14:49:28.500000+00:00,-1034977.8656435,25,11,True
